,Date,Project,Method,OD260/280,OD260/230,Concentration,Yield(ug)
249,2022-01-12,RDC,Chemagen,2.01,1.58,68.49,10.2735
250,2022-03-22,RDC,Chemagen,1.92,2.48,58.19,8.7285
251,2022-02-04,RDC,Chemagen,1.85,-5.61,63.93,9.5895
252,2022-02-28,RDC,Chemagen,2.01,2.21,72.9,10.935
253,2022-03-30,RDC,Chemagen,1.98,2.36,72.77,10.9155
254,2022-03-07,RDC,Chemagen,2.05,2.38,61.87,9.2805
255,2022-02-04,RDC,Chemagen,1.91,-6.17,73.94,11.091
256,2022-03-14,RDC,Chemagen,1.9,2.11,79.74,11.961
257,2022-02-25,RDC,Chemagen,1.99,2.25,96.21,14.431499999999998
258,2022-03-24,RDC,Chemagen,1.94,2.28,115.24,17.286
259,2022-03-17,RDC,Chemagen,2.0,2.62,70.81,10.6215
260,2022-02-10,RDC,Chemagen,2.01,2.17,88.85,13.3275
261,2022-03-11,RDC,Chemagen,2.03,2.24,172.27,25.8405
262,2022-02-08,RDC,Chemagen,1.96,2.07,82.27,12.3405
263,2022-01-14,RDC,Chemagen,1.93,1.76,69.36,10.404
264,2022-02-25,RDC,Chemagen,1.99,2.41,128.22,19.233
265,2022-01-27,RDC,Chemagen,1.86,2.22,103.79,15.568500000000002
266,2022-01-27,RDC,Chemagen,1.96,2.27,124.47,18.6705
267,2022-01-24,RDC,Chemagen,1.94,2.34,49.5,7.425
268,2022-03-24,RDC,Chemagen,1.98,2.44,40.63,6.0945
269,2022-02-01,RDC,Chemagen,1.99,2.23,64.27,9.6405
270,2022-02-25,RDC,Chemagen,1.85,2.2,59.97,8.9955
271,2022-03-24,RDC,Chemagen,2.06,2.65,77.47,11.6205
272,2022-01-20,RDC,Chemagen,2.09,2.22,60.11,9.0165
273,2022-03-09,RDC,Chemagen,2.04,2.28,71.65,10.7475
274,2022-01-20,RDC,Chemagen,1.99,2.32,116.15,17.4225
275,2022-01-27,RDC,Chemagen,1.91,2.26,76.47,11.4705
276,2022-01-14,RDC,Chemagen,1.87,1.9,93.87,14.0805
277,2022-03-07,RDC,Chemagen,1.88,2.09,91.06,13.659
278,2022-03-14,RDC,Chemagen,1.97,2.29,111.77,16.7655
279,2022-01-24,RDC,Chemagen,1.89,2.35,70.64,10.596
280,2022-02-25,RDC,Chemagen,1.83,1.75,92.12,13.818
281,2022-03-25,RDC,Chemagen,2.02,2.62,98.58,14.787
282,2022-03-17,RDC,Chemagen,1.88,2.36,103.58,15.537
283,2022-01-17,RDC,Chemagen,1.93,2.38,245.67,36.8505
284,2022-03-22,RDC,Chemagen,1.96,2.31,78.77,11.8155
285,2022-02-01,RDC,Chemagen,2.28,2.5,43.37,6.5055
286,2022-01-12,RDC,Chemagen,1.87,2.06,58.87,8.8305
287,2022-02-10,RDC,Chemagen,2.0,3.98,76.7,11.505
288,2022-03-17,RDC,Chemagen,2.05,2.8,64.73,9.7095
289,2022-03-09,RDC,Chemagen,1.89,2.04,63.81,9.5715
290,2022-01-17,RDC,Chemagen,1.97,2.24,86.08,12.912
291,2022-03-03,RDC,Chemagen,1.91,1.99,45.6,6.84
292,2022-03-21,RDC,Chemagen,1.94,1.76,60.87,9.1305
293,2022-03-17,RDC,Chemagen,1.98,2.49,109.36,16.404
294,2022-02-24,RDC,Chemagen,1.91,2.09,85.22,12.783
295,2022-03-24,RDC,Chemagen,1.97,2.69,60.11,9.0165
296,2022-03-09,RDC,Chemagen,1.87,2.25,98.02,14.703
297,2022-03-28,RDC,Chemagen,2.06,2.35,67.73,10.1595
298,2022-02-14,RDC,Chemagen,1.93,2.11,69.75,10.4625
299,2022-01-27,RDC,Chemagen,1.98,2.3,114.16,17.124
300,2022-02-10,RDC,Chemagen,1.93,2.22,88.18,13.227000000000002
301,2022-01-17,RDC,Chemagen,1.9,2.26,97.53,14.6295
302,2022-02-24,RDC,Chemagen,1.98,1.94,104.27,15.6405
303,2022-03-14,RDC,Chemagen,1.86,2.09,117.24,17.586
304,2022-02-07,RDC,Chemagen,1.86,1.78,182.96,27.444
305,2022-01-14,RDC,Chemagen,1.94,2.18,96.77,14.5155
306,2022-01-14,RDC,Chemagen,1.98,2.18,207.04,31.056
307,2022-03-10,RDC,Chemagen,2.04,1.73,75.85,11.3775
308,2022-03-07,RDC,Chemagen,1.92,2.33,70.8,10.62
309,2022-01-20,RDC,Chemagen,1.99,1.52,108.01,16.2015
310,2022-02-01,RDC,Chemagen,2.01,2.22,73.59,11.0385
311,2022-02-04,RDC,Chemagen,1.93,7.66,136.87,20.5305
312,2022-03-28,RDC,Chemagen,1.99,2.4,86.51,12.9765
313,2022-02-25,RDC,Chemagen,1.6,1.1,85.55,12.8325
314,2022-03-07,RDC,Chemagen,1.86,2.22,66.73,10.0095
315,2022-01-31,RDC,Chemagen,1.88,2.32,90.0,13.5
316,2022-02-16,RDC,Chemagen,1.87,2.27,82.74,12.411
317,2022-01-25,RDC,Chemagen,2.01,2.51,106.25,15.9375
318,2022-03-25,RDC,Chemagen,2.0,2.45,166.26,24.939
319,2022-03-28,RDC,Chemagen,1.98,2.42,139.3,20.895
320,2022-01-27,RDC,Chemagen,1.94,2.3,111.98,16.797
321,2022-03-24,RDC,Chemagen,1.98,2.52,77.08,11.562
322,2022-03-07,RDC,Chemagen,2.0,2.32,82.0,12.3
323,2022-01-20,RDC,Chemagen,1.96,2.34,150.61,22.591500000000003
324,2022-02-25,RDC,Chemagen,1.98,2.35,157.68,23.652
325,2022-02-08,RDC,Chemagen,1.94,2.0,91.22,13.683
326,2022-03-07,RDC,Chemagen,1.99,2.34,74.91,11.2365
327,2022-02-07,RDC,Chemagen,1.93,2.28,174.15,26.1225
328,2022-02-14,RDC,Chemagen,1.91,2.15,71.5,10.725
329,2022-02-07,RDC,Chemagen,1.92,2.22,121.89,18.2835
330,2022-01-27,RDC,Chemagen,1.97,2.27,76.25,11.4375
331,2022-03-22,RDC,Chemagen,2.04,2.4,192.23,28.8345
332,2022-02-14,RDC,Chemagen,1.94,2.14,123.4,18.51
333,2022-01-31,RDC,Chemagen,1.98,2.28,62.89,9.4335
334,2022-02-24,RDC,Chemagen,2.0,2.23,66.79,10.018500000000001
335,2022-03-21,RDC,Chemagen,1.9,2.0,57.48,8.622
336,2022-03-03,RDC,Chemagen,1.91,2.21,61.87,9.2805
337,2022-02-25,RDC,Chemagen,2.01,2.24,76.45,11.4675
338,2022-01-14,RDC,Chemagen,1.95,2.08,85.83,12.8745
339,2022-02-10,RDC,Chemagen,2.0,2.31,87.82,13.172999999999998
340,2022-03-07,RDC,Chemagen,1.96,2.22,102.53,15.3795
341,2022-02-24,RDC,Chemagen,1.93,2.36,135.0,20.25
342,2022-03-22,RDC,Chemagen,2.08,2.7,49.85,7.4775
343,2022-03-10,RDC,Chemagen,2.03,2.25,143.75,21.5625
344,2022-03-03,RDC,Chemagen,1.92,2.24,70.01,10.5015
345,2022-01-17,RDC,Chemagen,1.89,0.92,86.57,12.985499999999998
346,2022-03-24,RDC,Chemagen,1.91,2.42,57.54,8.631
347,2022-03-03,RDC,Chemagen,1.92,1.95,58.58,8.787
348,2022-01-12,RDC,Chemagen,1.92,2.18,99.76,14.964
349,2022-01-07,RDC,Chemagen,2.13,2.26,83.49,12.5235
350,2022-02-08,RDC,Chemagen,1.95,2.1,126.18,18.927
351,2022-01-17,RDC,Chemagen,1.9,1.13,99.53,14.9295
352,2022-02-24,RDC,Chemagen,1.95,2.13,164.41,24.6615
353,2022-02-18,RDC,Chemagen,1.96,2.25,124.76,18.714
354,2022-02-01,RDC,Chemagen,1.97,2.39,75.5,11.325
355,2022-03-10,RDC,Chemagen,1.95,2.34,90.63,13.5945
356,2022-02-07,RDC,Chemagen,1.93,2.12,43.64,6.546
357,2022-02-07,RDC,Chemagen,1.9,1.96,75.01,11.2515
358,2022-03-24,RDC,Chemagen,1.98,2.35,54.66,8.199
359,2022-03-03,RDC,Chemagen,1.92,2.01,128.97,19.3455
360,2022-01-17,RDC,Chemagen,1.99,2.11,78.05,11.7075
361,2022-01-17,RDC,Chemagen,1.91,2.26,129.18,19.377
362,2022-01-07,RDC,Chemagen,1.94,2.16,113.54,17.031
363,2022-01-27,RDC,Chemagen,1.93,2.31,172.53,25.8795
364,2022-03-09,RDC,Chemagen,1.99,2.29,123.19,18.4785
365,2022-01-17,RDC,Chemagen,1.96,1.87,87.54,13.131000000000002
366,2022-01-25,RDC,Chemagen,1.91,1.67,110.59,16.5885
367,2022-01-27,RDC,Chemagen,1.91,2.23,88.45,13.2675
368,2022-03-25,RDC,Chemagen,2.1,2.64,62.06,9.309
369,2022-03-21,RDC,Chemagen,1.93,2.06,72.95,10.9425
370,2022-02-04,RDC,Chemagen,1.93,16.4,101.51,15.2265
371,2022-02-07,RDC,Chemagen,1.87,1.85,77.38,11.607
372,2022-02-10,RDC,Chemagen,2.08,2.56,62.18,9.327
373,2022-03-28,RDC,Chemagen,1.94,2.35,74.67,11.2005
374,2022-03-24,RDC,Chemagen,2.07,2.67,68.12,10.218
375,2022-01-20,RDC,Chemagen,2.12,2.36,67.38,10.107
376,2022-01-14,RDC,Chemagen,1.87,1.96,70.04,10.506000000000002
377,2022-01-20,RDC,Chemagen,1.98,2.2,132.03,19.8045
378,2022-02-10,RDC,Chemagen,1.98,1.9,249.47,37.4205
379,2022-01-31,RDC,Chemagen,1.97,2.23,52.53,7.8795
380,2022-02-24,RDC,Chemagen,1.94,1.95,75.88,11.382
381,2022-02-21,RDC,Chemagen,1.91,1.92,96.96,14.543999999999999
382,2022-02-08,RDC,Chemagen,1.99,1.8,75.25,11.2875
383,2022-03-03,RDC,Chemagen,2.06,2.2,80.74,12.111
384,2022-03-17,RDC,Chemagen,1.89,2.25,80.2,12.03
